first_name,second_name,age,sex,vehicle_make,vehicle_model,vehicle_year,vehicle_type,data,address_city,last_name,credit_card_start_date,credit_card_number,address_main,address_postcode,credit_card_end_date,credit_card_security_code,iban
Catherine,Jones,38,Female,GMC,7 Series,2002,Sedan,"{'source': 'CSV', 'raw_data': {'First Name': 'Catherine', 'Second Name': 'Jones', 'Age (Years)': '38', 'Sex': 'Female', 'Vehicle Make': 'GMC', 'Vehicle Model': '7 Series', 'Vehicle Year': '2002', 'Vehicle Type': 'Sedan'}}",,,,,,,,,
Stacey,Donnelly,65,Female,Acura,Cayman,2018,Sedan,"{'source': 'CSV', 'raw_data': {'First Name': 'Stacey', 'Second Name': 'Donnelly', 'Age (Years)': '65', 'Sex': 'Female', 'Vehicle Make': 'Acura', 'Vehicle Model': 'Cayman', 'Vehicle Year': '2018', 'Vehicle Type': 'Sedan'}}",,,,,,,,,
Gerald,Young,88,Male,Chevrolet,Golf,2004,Van/Minivan,"{'source': 'CSV', 'raw_data': {'First Name': 'Gerald', 'Second Name': 'Young', 'Age (Years)': '88', 'Sex': 'Male', 'Vehicle Make': 'Chevrolet', 'Vehicle Model': 'Golf', 'Vehicle Year': '2004', 'Vehicle Type': 'Van/Minivan'}}",,,,,,,,,
Charlie,Clarke,57,Male,Chevrolet,Malibu,2006,Hatchback,"{'source': 'CSV', 'raw_data': {'First Name': 'Charlie', 'Second Name': 'Clarke', 'Age (Years)': '57', 'Sex': 'Male', 'Vehicle Make': 'Chevrolet', 'Vehicle Model': 'Malibu', 'Vehicle Year': '2006', 'Vehicle Type': 'Hatchback'}}",,,,,,,,,
Geraldine,Martin,57,Female,Pontiac,M3,2013,"Convertible, Coupe","{'source': 'CSV', 'raw_data': {'First Name': 'Geraldine', 'Second Name': 'Martin', 'Age (Years)': '57', 'Sex': 'Female', 'Vehicle Make': 'Pontiac', 'Vehicle Model': 'M3', 'Vehicle Year': '2013', 'Vehicle Type': 'Convertible, Coupe'}}",,,,,,,,,
Ian,Holland,40,Male,Mercedes-Benz,Prius,1997,Coupe,"{'source': 'CSV', 'raw_data': {'First Name': 'Ian', 'Second Name': 'Holland', 'Age (Years)': '40', 'Sex': 'Male', 'Vehicle Make': 'Mercedes-Benz', 'Vehicle Model': 'Prius', 'Vehicle Year': '1997', 'Vehicle Type': 'Coupe'}}",,,,,,,,,
Brian,Thompson,36,Male,Chevrolet,Rio,2003,Coupe,"{'source': 'CSV', 'raw_data': {'First Name': 'Brian', 'Second Name': 'Thompson', 'Age (Years)': '36', 'Sex': 'Male', 'Vehicle Make': 'Chevrolet', 'Vehicle Model': 'Rio', 'Vehicle Year': '2003', 'Vehicle Type': 'Coupe'}}",,,,,,,,,
Janice,Newman,25,Female,Nissan,Ram Wagon 3500,2000,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Janice', 'Second Name': 'Newman', 'Age (Years)': '25', 'Sex': 'Female', 'Vehicle Make': 'Nissan', 'Vehicle Model': 'Ram Wagon 3500', 'Vehicle Year': '2000', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Lynn,Thomas,34,Female,Ford,Echo,2011,Wagon,"{'source': 'CSV', 'raw_data': {'First Name': 'Lynn', 'Second Name': 'Thomas', 'Age (Years)': '34', 'Sex': 'Female', 'Vehicle Make': 'Ford', 'Vehicle Model': 'Echo', 'Vehicle Year': '2011', 'Vehicle Type': 'Wagon'}}",,,,,,,,,
Donna,Smith,67,Female,Nissan,Silverado 3500 Crew Cab,2008,Pickup,"{'source': 'CSV', 'raw_data': {'First Name': 'Donna', 'Second Name': 'Smith', 'Age (Years)': '67', 'Sex': 'Female', 'Vehicle Make': 'Nissan', 'Vehicle Model': 'Silverado 3500 Crew Cab', 'Vehicle Year': '2008', 'Vehicle Type': 'Pickup'}}",,,,,,,,,
Kerry,Smith,54,Female,Nissan,Maxima,2019,Pickup,"{'source': 'CSV', 'raw_data': {'First Name': 'Kerry', 'Second Name': 'Smith', 'Age (Years)': '54', 'Sex': 'Female', 'Vehicle Make': 'Nissan', 'Vehicle Model': 'Maxima', 'Vehicle Year': '2019', 'Vehicle Type': 'Pickup'}}",,,,,,,,,
Frank,Spencer,31,Male,Hyundai,NV3500 HD Cargo,2019,Sedan,"{'source': 'CSV', 'raw_data': {'First Name': 'Frank', 'Second Name': 'Spencer', 'Age (Years)': '31', 'Sex': 'Male', 'Vehicle Make': 'Hyundai', 'Vehicle Model': 'NV3500 HD Cargo', 'Vehicle Year': '2019', 'Vehicle Type': 'Sedan'}}",,,,,,,,,
Maurice,Richardson,40,Male,Jaguar,Ram 3500 Regular Cab,1993,Van/Minivan,"{'source': 'CSV', 'raw_data': {'First Name': 'Maurice', 'Second Name': 'Richardson', 'Age (Years)': '40', 'Sex': 'Male', 'Vehicle Make': 'Jaguar', 'Vehicle Model': 'Ram 3500 Regular Cab', 'Vehicle Year': '1993', 'Vehicle Type': 'Van/Minivan'}}",,,,,,,,,
Benjamin,Watson,76,Male,Lexus,C-MAX Hybrid,2014,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Benjamin', 'Second Name': 'Watson', 'Age (Years)': '76', 'Sex': 'Male', 'Vehicle Make': 'Lexus', 'Vehicle Model': 'C-MAX Hybrid', 'Vehicle Year': '2014', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Lorraine,Gray,23,Female,Mitsubishi,Santa Fe,2004,Van/Minivan,"{'source': 'CSV', 'raw_data': {'First Name': 'Lorraine', 'Second Name': 'Gray', 'Age (Years)': '23', 'Sex': 'Female', 'Vehicle Make': 'Mitsubishi', 'Vehicle Model': 'Santa Fe', 'Vehicle Year': '2004', 'Vehicle Type': 'Van/Minivan'}}",,,,,,,,,
David,Burns,65,Male,Kia,Rabbit,1998,Hatchback,"{'source': 'CSV', 'raw_data': {'First Name': 'David', 'Second Name': 'Burns', 'Age (Years)': '65', 'Sex': 'Male', 'Vehicle Make': 'Kia', 'Vehicle Model': 'Rabbit', 'Vehicle Year': '1998', 'Vehicle Type': 'Hatchback'}}",,,,,,,,,
Claire,Williams,86,Female,Buick,Impreza,2018,Sedan,"{'source': 'CSV', 'raw_data': {'First Name': 'Claire', 'Second Name': 'Williams', 'Age (Years)': '86', 'Sex': 'Female', 'Vehicle Make': 'Buick', 'Vehicle Model': 'Impreza', 'Vehicle Year': '2018', 'Vehicle Type': 'Sedan'}}",,,,,,,,,
Marie,Carpenter,74,Female,Kia,LC,2015,"Sedan, Coupe, Wagon","{'source': 'CSV', 'raw_data': {'First Name': 'Marie', 'Second Name': 'Carpenter', 'Age (Years)': '74', 'Sex': 'Female', 'Vehicle Make': 'Kia', 'Vehicle Model': 'LC', 'Vehicle Year': '2015', 'Vehicle Type': 'Sedan, Coupe, Wagon'}}",,,,,,,,,
Conor,Walker,25,Male,Volvo,Corvette,2010,Hatchback,"{'source': 'CSV', 'raw_data': {'First Name': 'Conor', 'Second Name': 'Walker', 'Age (Years)': '25', 'Sex': 'Male', 'Vehicle Make': 'Volvo', 'Vehicle Model': 'Corvette', 'Vehicle Year': '2010', 'Vehicle Type': 'Hatchback'}}",,,,,,,,,
Marion,Nicholls,79,Female,Chrysler,Continental,1993,Sedan,"{'source': 'CSV', 'raw_data': {'First Name': 'Marion', 'Second Name': 'Nicholls', 'Age (Years)': '79', 'Sex': 'Female', 'Vehicle Make': 'Chrysler', 'Vehicle Model': 'Continental', 'Vehicle Year': '1993', 'Vehicle Type': 'Sedan'}}",,,,,,,,,
Glen,Brooks,82,Male,Kia,F150 Super Cab,2019,Van/Minivan,"{'source': 'CSV', 'raw_data': {'First Name': 'Glen', 'Second Name': 'Brooks', 'Age (Years)': '82', 'Sex': 'Male', 'Vehicle Make': 'Kia', 'Vehicle Model': 'F150 Super Cab', 'Vehicle Year': '2019', 'Vehicle Type': 'Van/Minivan'}}",,,,,,,,,
Lawrence,Baker,64,Male,Lincoln,F150 Regular Cab,2003,Hatchback,"{'source': 'CSV', 'raw_data': {'First Name': 'Lawrence', 'Second Name': 'Baker', 'Age (Years)': '64', 'Sex': 'Male', 'Vehicle Make': 'Lincoln', 'Vehicle Model': 'F150 Regular Cab', 'Vehicle Year': '2003', 'Vehicle Type': 'Hatchback'}}",,,,,,,,,
Natasha,Rees,64,Female,Audi,Grand Prix,2016,Convertible,"{'source': 'CSV', 'raw_data': {'First Name': 'Natasha', 'Second Name': 'Rees', 'Age (Years)': '64', 'Sex': 'Female', 'Vehicle Make': 'Audi', 'Vehicle Model': 'Grand Prix', 'Vehicle Year': '2016', 'Vehicle Type': 'Convertible'}}",,,,,,,,,
Sean,Jones,39,Male,BMW,Camry Hybrid,2000,Pickup,"{'source': 'CSV', 'raw_data': {'First Name': 'Sean', 'Second Name': 'Jones', 'Age (Years)': '39', 'Sex': 'Male', 'Vehicle Make': 'BMW', 'Vehicle Model': 'Camry Hybrid', 'Vehicle Year': '2000', 'Vehicle Type': 'Pickup'}}",,,,,,,,,
Rita,Nicholson,50,Female,Mercedes-Benz,Armada,2004,Coupe,"{'source': 'CSV', 'raw_data': {'First Name': 'Rita', 'Second Name': 'Nicholson', 'Age (Years)': '50', 'Sex': 'Female', 'Vehicle Make': 'Mercedes-Benz', 'Vehicle Model': 'Armada', 'Vehicle Year': '2004', 'Vehicle Type': 'Coupe'}}",,,,,,,,,
Emma,Williams,37,Female,Dodge,LC,1996,Sedan,"{'source': 'CSV', 'raw_data': {'First Name': 'Emma', 'Second Name': 'Williams', 'Age (Years)': '37', 'Sex': 'Female', 'Vehicle Make': 'Dodge', 'Vehicle Model': 'LC', 'Vehicle Year': '1996', 'Vehicle Type': 'Sedan'}}",,,,,,,,,
Joanna,Brown,33,Female,MAZDA,Rio,2011,Convertible,"{'source': 'CSV', 'raw_data': {'First Name': 'Joanna', 'Second Name': 'Brown', 'Age (Years)': '33', 'Sex': 'Female', 'Vehicle Make': 'MAZDA', 'Vehicle Model': 'Rio', 'Vehicle Year': '2011', 'Vehicle Type': 'Convertible'}}",,,,,,,,,
Ryan,Brown,37,Male,Nissan,Silverado 2500 HD Regular Cab,2000,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Ryan', 'Second Name': 'Brown', 'Age (Years)': '37', 'Sex': 'Male', 'Vehicle Make': 'Nissan', 'Vehicle Model': 'Silverado 2500 HD Regular Cab', 'Vehicle Year': '2000', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Patricia,Harrison,53,Female,INFINITI,Mustang,2003,Sedan,"{'source': 'CSV', 'raw_data': {'First Name': 'Patricia', 'Second Name': 'Harrison', 'Age (Years)': '53', 'Sex': 'Female', 'Vehicle Make': 'INFINITI', 'Vehicle Model': 'Mustang', 'Vehicle Year': '2003', 'Vehicle Type': 'Sedan'}}",,,,,,,,,
Sheila,Watson,61,Female,Nissan,F250 Super Duty Super Cab,1995,Van/Minivan,"{'source': 'CSV', 'raw_data': {'First Name': 'Sheila', 'Second Name': 'Watson', 'Age (Years)': '61', 'Sex': 'Female', 'Vehicle Make': 'Nissan', 'Vehicle Model': 'F250 Super Duty Super Cab', 'Vehicle Year': '1995', 'Vehicle Type': 'Van/Minivan'}}",,,,,,,,,
Graham,Roberts,22,Male,Mercedes-Benz,500e,2002,"Sedan, Hatchback","{'source': 'CSV', 'raw_data': {'First Name': 'Graham', 'Second Name': 'Roberts', 'Age (Years)': '22', 'Sex': 'Male', 'Vehicle Make': 'Mercedes-Benz', 'Vehicle Model': '500e', 'Vehicle Year': '2002', 'Vehicle Type': 'Sedan, Hatchback'}}",,,,,,,,,
Roger,Lewis,71,Male,Ford,Sequoia,1996,"Sedan, Wagon","{'source': 'CSV', 'raw_data': {'First Name': 'Roger', 'Second Name': 'Lewis', 'Age (Years)': '71', 'Sex': 'Male', 'Vehicle Make': 'Ford', 'Vehicle Model': 'Sequoia', 'Vehicle Year': '1996', 'Vehicle Type': 'Sedan, Wagon'}}",,,,,,,,,
Elaine,Harvey,58,Female,Lincoln,B-Series Cab Plus,2010,Sedan,"{'source': 'CSV', 'raw_data': {'First Name': 'Elaine', 'Second Name': 'Harvey', 'Age (Years)': '58', 'Sex': 'Female', 'Vehicle Make': 'Lincoln', 'Vehicle Model': 'B-Series Cab Plus', 'Vehicle Year': '2010', 'Vehicle Type': 'Sedan'}}",,,,,,,,,
Joyce,Burke,32,Female,GMC,Z4 M,2006,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Joyce', 'Second Name': 'Burke', 'Age (Years)': '32', 'Sex': 'Female', 'Vehicle Make': 'GMC', 'Vehicle Model': 'Z4 M', 'Vehicle Year': '2006', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Lynn,Parsons,39,Female,Porsche,Sequoia,1994,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Lynn', 'Second Name': 'Parsons', 'Age (Years)': '39', 'Sex': 'Female', 'Vehicle Make': 'Porsche', 'Vehicle Model': 'Sequoia', 'Vehicle Year': '1994', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Leslie,Williams,63,Male,Honda,Golf,1998,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Leslie', 'Second Name': 'Williams', 'Age (Years)': '63', 'Sex': 'Male', 'Vehicle Make': 'Honda', 'Vehicle Model': 'Golf', 'Vehicle Year': '1998', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Jemma,Morris,86,Female,GMC,GLA,2017,Van/Minivan,"{'source': 'CSV', 'raw_data': {'First Name': 'Jemma', 'Second Name': 'Morris', 'Age (Years)': '86', 'Sex': 'Female', 'Vehicle Make': 'GMC', 'Vehicle Model': 'GLA', 'Vehicle Year': '2017', 'Vehicle Type': 'Van/Minivan'}}",,,,,,,,,
Frances,Fitzgerald,60,Female,Mercury,350Z,2010,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Frances', 'Second Name': 'Fitzgerald', 'Age (Years)': '60', 'Sex': 'Female', 'Vehicle Make': 'Mercury', 'Vehicle Model': '350Z', 'Vehicle Year': '2010', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Terry,Evans,21,Male,Lotus,S10 Crew Cab,2014,Convertible,"{'source': 'CSV', 'raw_data': {'First Name': 'Terry', 'Second Name': 'Evans', 'Age (Years)': '21', 'Sex': 'Male', 'Vehicle Make': 'Lotus', 'Vehicle Model': 'S10 Crew Cab', 'Vehicle Year': '2014', 'Vehicle Type': 'Convertible'}}",,,,,,,,,
Elliot,Dixon,36,Male,Mercury,JUKE,2003,"Wagon, Sedan","{'source': 'CSV', 'raw_data': {'First Name': 'Elliot', 'Second Name': 'Dixon', 'Age (Years)': '36', 'Sex': 'Male', 'Vehicle Make': 'Mercury', 'Vehicle Model': 'JUKE', 'Vehicle Year': '2003', 'Vehicle Type': 'Wagon, Sedan'}}",,,,,,,,,
Scott,Kent,64,Male,Chevrolet,SKY,1998,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Scott', 'Second Name': 'Kent', 'Age (Years)': '64', 'Sex': 'Male', 'Vehicle Make': 'Chevrolet', 'Vehicle Model': 'SKY', 'Vehicle Year': '1998', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Bruce,Hamilton,30,Male,Mitsubishi,RX,2008,Pickup,"{'source': 'CSV', 'raw_data': {'First Name': 'Bruce', 'Second Name': 'Hamilton', 'Age (Years)': '30', 'Sex': 'Male', 'Vehicle Make': 'Mitsubishi', 'Vehicle Model': 'RX', 'Vehicle Year': '2008', 'Vehicle Type': 'Pickup'}}",,,,,,,,,
Kayleigh,Bray,81,Female,Jaguar,Tahoe,2009,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Kayleigh', 'Second Name': 'Bray', 'Age (Years)': '81', 'Sex': 'Female', 'Vehicle Make': 'Jaguar', 'Vehicle Model': 'Tahoe', 'Vehicle Year': '2009', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Lesley,Murphy,43,Female,Freightliner,Colorado Crew Cab,2018,Van/Minivan,"{'source': 'CSV', 'raw_data': {'First Name': 'Lesley', 'Second Name': 'Murphy', 'Age (Years)': '43', 'Sex': 'Female', 'Vehicle Make': 'Freightliner', 'Vehicle Model': 'Colorado Crew Cab', 'Vehicle Year': '2018', 'Vehicle Type': 'Van/Minivan'}}",,,,,,,,,
Kieran,Cook,80,Male,Ford,Ram 2500 Quad Cab,1996,Pickup,"{'source': 'CSV', 'raw_data': {'First Name': 'Kieran', 'Second Name': 'Cook', 'Age (Years)': '80', 'Sex': 'Male', 'Vehicle Make': 'Ford', 'Vehicle Model': 'Ram 2500 Quad Cab', 'Vehicle Year': '1996', 'Vehicle Type': 'Pickup'}}",,,,,,,,,
Trevor,Howe,77,Male,Rolls-Royce,Colorado Extended Cab,1993,Sedan,"{'source': 'CSV', 'raw_data': {'First Name': 'Trevor', 'Second Name': 'Howe', 'Age (Years)': '77', 'Sex': 'Male', 'Vehicle Make': 'Rolls-Royce', 'Vehicle Model': 'Colorado Extended Cab', 'Vehicle Year': '1993', 'Vehicle Type': 'Sedan'}}",,,,,,,,,
Ben,Booth,58,Male,Nissan,Soul,2015,Pickup,"{'source': 'CSV', 'raw_data': {'First Name': 'Ben', 'Second Name': 'Booth', 'Age (Years)': '58', 'Sex': 'Male', 'Vehicle Make': 'Nissan', 'Vehicle Model': 'Soul', 'Vehicle Year': '2015', 'Vehicle Type': 'Pickup'}}",,,,,,,,,
Natasha,Poole,32,Female,Plymouth,Avalanche,2007,Coupe,"{'source': 'CSV', 'raw_data': {'First Name': 'Natasha', 'Second Name': 'Poole', 'Age (Years)': '32', 'Sex': 'Female', 'Vehicle Make': 'Plymouth', 'Vehicle Model': 'Avalanche', 'Vehicle Year': '2007', 'Vehicle Type': 'Coupe'}}",,,,,,,,,
Mitchell,Wilson,53,Male,Volvo,Galant,2009,Sedan,"{'source': 'CSV', 'raw_data': {'First Name': 'Mitchell', 'Second Name': 'Wilson', 'Age (Years)': '53', 'Sex': 'Male', 'Vehicle Make': 'Volvo', 'Vehicle Model': 'Galant', 'Vehicle Year': '2009', 'Vehicle Type': 'Sedan'}}",,,,,,,,,
Anna,Brookes,31,Female,Toyota,Suburban 1500,2005,Coupe,"{'source': 'CSV', 'raw_data': {'First Name': 'Anna', 'Second Name': 'Brookes', 'Age (Years)': '31', 'Sex': 'Female', 'Vehicle Make': 'Toyota', 'Vehicle Model': 'Suburban 1500', 'Vehicle Year': '2005', 'Vehicle Type': 'Coupe'}}",,,,,,,,,
Daniel,Henry,62,Male,Ford,Escalade ESV,2018,Sedan,"{'source': 'CSV', 'raw_data': {'First Name': 'Daniel', 'Second Name': 'Henry', 'Age (Years)': '62', 'Sex': 'Male', 'Vehicle Make': 'Ford', 'Vehicle Model': 'Escalade ESV', 'Vehicle Year': '2018', 'Vehicle Type': 'Sedan'}}",,,,,,,,,
Arthur,Farmer,58,Male,Nissan,Xtra Cab,2016,Coupe,"{'source': 'CSV', 'raw_data': {'First Name': 'Arthur', 'Second Name': 'Farmer', 'Age (Years)': '58', 'Sex': 'Male', 'Vehicle Make': 'Nissan', 'Vehicle Model': 'Xtra Cab', 'Vehicle Year': '2016', 'Vehicle Type': 'Coupe'}}",,,,,,,,,
Aaron,Smith,90,Male,Chevrolet,Ram Wagon 1500,2000,Hatchback,"{'source': 'CSV', 'raw_data': {'First Name': 'Aaron', 'Second Name': 'Smith', 'Age (Years)': '90', 'Sex': 'Male', 'Vehicle Make': 'Chevrolet', 'Vehicle Model': 'Ram Wagon 1500', 'Vehicle Year': '2000', 'Vehicle Type': 'Hatchback'}}",,,,,,,,,
Jason,Butcher,23,Male,Jaguar,S-Class,2007,Coupe,"{'source': 'CSV', 'raw_data': {'First Name': 'Jason', 'Second Name': 'Butcher', 'Age (Years)': '23', 'Sex': 'Male', 'Vehicle Make': 'Jaguar', 'Vehicle Model': 'S-Class', 'Vehicle Year': '2007', 'Vehicle Type': 'Coupe'}}",,,,,,,,,
Vincent,Bull,42,Male,Hyundai,Safari Cargo,2018,Sedan,"{'source': 'CSV', 'raw_data': {'First Name': 'Vincent', 'Second Name': 'Bull', 'Age (Years)': '42', 'Sex': 'Male', 'Vehicle Make': 'Hyundai', 'Vehicle Model': 'Safari Cargo', 'Vehicle Year': '2018', 'Vehicle Type': 'Sedan'}}",,,,,,,,,
Aimee,Hardy,30,Female,Honda,Regal,1999,"Wagon, Sedan","{'source': 'CSV', 'raw_data': {'First Name': 'Aimee', 'Second Name': 'Hardy', 'Age (Years)': '30', 'Sex': 'Female', 'Vehicle Make': 'Honda', 'Vehicle Model': 'Regal', 'Vehicle Year': '1999', 'Vehicle Type': 'Wagon, Sedan'}}",,,,,,,,,
Linda,Walker,65,Female,Dodge,Sierra 3500 HD Crew Cab,2012,Pickup,"{'source': 'CSV', 'raw_data': {'First Name': 'Linda', 'Second Name': 'Walker', 'Age (Years)': '65', 'Sex': 'Female', 'Vehicle Make': 'Dodge', 'Vehicle Model': 'Sierra 3500 HD Crew Cab', 'Vehicle Year': '2012', 'Vehicle Type': 'Pickup'}}",,,,,,,,,
Stacey,Barnes,25,Female,Ford,DeVille,2007,Pickup,"{'source': 'CSV', 'raw_data': {'First Name': 'Stacey', 'Second Name': 'Barnes', 'Age (Years)': '25', 'Sex': 'Female', 'Vehicle Make': 'Ford', 'Vehicle Model': 'DeVille', 'Vehicle Year': '2007', 'Vehicle Type': 'Pickup'}}",,,,,,,,,
Charlotte,King,75,Female,Jeep,Montero,2012,Pickup,"{'source': 'CSV', 'raw_data': {'First Name': 'Charlotte', 'Second Name': 'King', 'Age (Years)': '75', 'Sex': 'Female', 'Vehicle Make': 'Jeep', 'Vehicle Model': 'Montero', 'Vehicle Year': '2012', 'Vehicle Type': 'Pickup'}}",,,,,,,,,
Kieran,O'Connor,38,Male,Nissan,Diamante,2015,"Sedan, Coupe","{'source': 'CSV', 'raw_data': {'First Name': 'Kieran', 'Second Name': ""O'Connor"", 'Age (Years)': '38', 'Sex': 'Male', 'Vehicle Make': 'Nissan', 'Vehicle Model': 'Diamante', 'Vehicle Year': '2015', 'Vehicle Type': 'Sedan, Coupe'}}",,,,,,,,,
Philip,Scott,87,Male,Chevrolet,S80,2017,Pickup,"{'source': 'CSV', 'raw_data': {'First Name': 'Philip', 'Second Name': 'Scott', 'Age (Years)': '87', 'Sex': 'Male', 'Vehicle Make': 'Chevrolet', 'Vehicle Model': 'S80', 'Vehicle Year': '2017', 'Vehicle Type': 'Pickup'}}",,,,,,,,,
Gareth,Knight,70,Male,Lincoln,Accent,1995,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Gareth', 'Second Name': 'Knight', 'Age (Years)': '70', 'Sex': 'Male', 'Vehicle Make': 'Lincoln', 'Vehicle Model': 'Accent', 'Vehicle Year': '1995', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Shaun,Ford,44,Male,Lincoln,MDX Sport Hybrid,2000,Coupe,"{'source': 'CSV', 'raw_data': {'First Name': 'Shaun', 'Second Name': 'Ford', 'Age (Years)': '44', 'Sex': 'Male', 'Vehicle Make': 'Lincoln', 'Vehicle Model': 'MDX Sport Hybrid', 'Vehicle Year': '2000', 'Vehicle Type': 'Coupe'}}",,,,,,,,,
Tom,Brown,53,Male,INFINITI,Savana 3500 Cargo,1999,Sedan,"{'source': 'CSV', 'raw_data': {'First Name': 'Tom', 'Second Name': 'Brown', 'Age (Years)': '53', 'Sex': 'Male', 'Vehicle Make': 'INFINITI', 'Vehicle Model': 'Savana 3500 Cargo', 'Vehicle Year': '1999', 'Vehicle Type': 'Sedan'}}",,,,,,,,,
Jenna,Ingram,21,Female,Toyota,Liberty,2005,Van/Minivan,"{'source': 'CSV', 'raw_data': {'First Name': 'Jenna', 'Second Name': 'Ingram', 'Age (Years)': '21', 'Sex': 'Female', 'Vehicle Make': 'Toyota', 'Vehicle Model': 'Liberty', 'Vehicle Year': '2005', 'Vehicle Type': 'Van/Minivan'}}",,,,,,,,,
Angela,Wall,53,Female,Acura,LX,1999,Pickup,"{'source': 'CSV', 'raw_data': {'First Name': 'Angela', 'Second Name': 'Wall', 'Age (Years)': '53', 'Sex': 'Female', 'Vehicle Make': 'Acura', 'Vehicle Model': 'LX', 'Vehicle Year': '1999', 'Vehicle Type': 'Pickup'}}",,,,,,,,,
Glenn,Rogers,87,Male,Jeep,Sierra (Classic) 2500 HD Regular Cab,2011,Coupe,"{'source': 'CSV', 'raw_data': {'First Name': 'Glenn', 'Second Name': 'Rogers', 'Age (Years)': '87', 'Sex': 'Male', 'Vehicle Make': 'Jeep', 'Vehicle Model': 'Sierra (Classic) 2500 HD Regular Cab', 'Vehicle Year': '2011', 'Vehicle Type': 'Coupe'}}",,,,,,,,,
Eric,Smith,89,Male,Porsche,A3,2017,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Eric', 'Second Name': 'Smith', 'Age (Years)': '89', 'Sex': 'Male', 'Vehicle Make': 'Porsche', 'Vehicle Model': 'A3', 'Vehicle Year': '2017', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Georgina,Thompson,81,Female,Jaguar,Pilot,2010,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Georgina', 'Second Name': 'Thompson', 'Age (Years)': '81', 'Sex': 'Female', 'Vehicle Make': 'Jaguar', 'Vehicle Model': 'Pilot', 'Vehicle Year': '2010', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Kenneth,Robinson,86,Male,Volkswagen,LaCrosse,2015,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Kenneth', 'Second Name': 'Robinson', 'Age (Years)': '86', 'Sex': 'Male', 'Vehicle Make': 'Volkswagen', 'Vehicle Model': 'LaCrosse', 'Vehicle Year': '2015', 'Vehicle Type': 'SUV'}}",,,,,,,,,
David,O'Sullivan,75,Male,Ford,F350 Super Duty Super Cab,2016,Coupe,"{'source': 'CSV', 'raw_data': {'First Name': 'David', 'Second Name': ""O'Sullivan"", 'Age (Years)': '75', 'Sex': 'Male', 'Vehicle Make': 'Ford', 'Vehicle Model': 'F350 Super Duty Super Cab', 'Vehicle Year': '2016', 'Vehicle Type': 'Coupe'}}",,,,,,,,,
Shannon,Barnett,90,Female,Toyota,Vandura 3500,1993,Coupe,"{'source': 'CSV', 'raw_data': {'First Name': 'Shannon', 'Second Name': 'Barnett', 'Age (Years)': '90', 'Sex': 'Female', 'Vehicle Make': 'Toyota', 'Vehicle Model': 'Vandura 3500', 'Vehicle Year': '1993', 'Vehicle Type': 'Coupe'}}",,,,,,,,,
Natalie,Thomas,39,Female,Hyundai,GLS,2009,"Sedan, Wagon","{'source': 'CSV', 'raw_data': {'First Name': 'Natalie', 'Second Name': 'Thomas', 'Age (Years)': '39', 'Sex': 'Female', 'Vehicle Make': 'Hyundai', 'Vehicle Model': 'GLS', 'Vehicle Year': '2009', 'Vehicle Type': 'Sedan, Wagon'}}",,,,,,,,,
Bradley,Hunt,42,Male,Ford,Sonata,2017,SUV,"{'source': 'CSV', 'raw_data': {'First Name': 'Bradley', 'Second Name': 'Hunt', 'Age (Years)': '42', 'Sex': 'Male', 'Vehicle Make': 'Ford', 'Vehicle Model': 'Sonata', 'Vehicle Year': '2017', 'Vehicle Type': 'SUV'}}",,,,,,,,,
Clare,Carter,76,Female,GMC,Paceman,2018,Van/Minivan,"{'source': 'CSV', 'raw_data': {'First Name': 'Clare', 'Second Name': 'Carter', 'Age (Years)': '76', 'Sex': 'Female', 'Vehicle Make': 'GMC', 'Vehicle Model': 'Paceman', 'Vehicle Year': '2018', 'Vehicle Type': 'Van/Minivan'}}",,,,,,,,,
